,id,original_title,imdb_id,genre_ids,genres,rating,popularity,release_date,budget,revenue,runtime,status,title
43,818370,The Little Prince(ss),tt14475526,"[10751, 18]","['Family', 'Drama']",NR-Manual,19.5,2021-05-28,0,0,19,Released,The Little Prince(ss)
44,818367,Let's Be Tigers,tt14475518,[18],['Drama'],PG,21.721,2021-05-28,0,0,15,Released,Let's Be Tigers
45,821031,Altered Innocence Vol. 1,,"[18, 10749, 35, 14]","['Drama', 'Romance', 'Comedy', 'Fantasy']",NR-Manual,3.835,2021-05-25,0,0,161,Released,Altered Innocence Vol. 1
46,823902,as the winter turns to fall,tt14838058,[18],['Drama'],NR-Manual,0.6,2021-05-21,2500,0,10,Released,as the winter turns to fall
47,821390,The Retreat,tt11392272,"[27, 53]","['Horror', 'Thriller']",NR-Manual,6.715,2021-05-21,0,0,82,Released,The Retreat
48,826422,LIMBS,,[18],['Drama'],NR,0.6,2021-05-14,300,0,14,Released,LIMBS
49,853670,A Boy Like That,tt11873236,[18],['Drama'],NR-Manual,1.532,2021-04-30,0,0,87,Released,A Boy Like That
50,849802,College Witch,tt15028610,[10749],['Romance'],NR,1.4,2021-04-29,300,0,10,Released,College Witch
51,826143,Nobody's Boy,tt14585456,[18],['Drama'],NR-Manual,0.6,2021-04-24,0,0,32,Released,Nobody's Boy
52,789108,Night Disclosure,tt13581778,"[18, 10749]","['Drama', 'Romance']",NR-Manual,1.4,2021-04-15,12000,0,13,Released,Night Disclosure
53,664300,Shiva Baby,tt11317142,"[35, 18]","['Comedy', 'Drama']",NR,13.833,2021-04-02,250000,31014,78,Released,Shiva Baby
54,812108,Where We Were Before,,"[16, 18, 10749]","['Animation', 'Drama', 'Romance']",NR-Manual,1.4,2021-03-30,0,0,15,Released,Where We Were Before
55,800005,Boys On Film 21: Beautiful Secret,tt14086060,"[18, 10749, 35, 36]","['Drama', 'Romance', 'Comedy', 'History']",NR-Manual,1.738,2021-03-08,0,0,123,Released,Boys On Film 21: Beautiful Secret
56,635616,Mummy Brown,tt11044090,[18],['Drama'],NR-Manual,0.6,2021-02-25,5000,0,16,Released,Mummy Brown
57,795428,Dancing on the Dark Side of the Moon,tt14026786,"[878, 35]","['Science Fiction', 'Comedy']",NR,1.694,2021-02-10,0,0,61,Released,Dancing on the Dark Side of the Moon
58,793802,Girl Night Stand: Chapter Two,tt13328358,"[10749, 35]","['Romance', 'Comedy']",NR-Manual,0.6,2021-02-05,0,0,9,Released,Girl Night Stand: Chapter Two
59,642208,Supernova,tt11169050,"[10749, 18]","['Romance', 'Drama']",NR-Manual,36.634,2021-01-29,0,2506542,94,Released,Supernova
60,790864,The Male Gaze: Hide and Seek,tt13915640,[18],['Drama'],NR-Manual,1.15,2021-01-18,400000,0,92,Released,The Male Gaze: Hide and Seek
61,785004,Just Ask Him,tt13824652,"[18, 10749]","['Drama', 'Romance']",NR-Manual,0.6,2021-01-11,0,0,13,Released,Just Ask Him
62,764316,Dashing in December,tt13454498,"[18, 10770]","['Drama', 'TV Movie']",NR-Manual,5.908,2020-12-13,0,0,85,Released,Dashing in December
63,744952,The Christmas Setup,tt13147656,"[18, 10749, 10770]","['Drama', 'Romance', 'TV Movie']",NR-Manual,6.652,2020-12-12,0,0,88,Released,The Christmas Setup
64,775080,The Male Gaze: The Boy Is Mine,tt13618016,[18],['Drama'],NR-Manual,1.563,2020-12-10,0,0,95,Released,The Male Gaze: The Boy Is Mine
65,611213,The Prom,tt10161886,"[35, 10402, 10749]","['Comedy', 'Music', 'Romance']",PG-13,11.415,2020-12-04,0,0,132,Released,The Prom
66,717536,I Hate New Year's,tt11441606,"[35, 10749]","['Comedy', 'Romance']",NR-Manual,2.063,2020-12-04,0,0,78,Released,I Hate New Year's
67,772257,Sweet 15,tt13580506,"[10749, 10751]","['Romance', 'Family']",PG-13,0.6,2020-12-02,7000,0,7,Released,Sweet 15
68,615667,Ma Rainey's Black Bottom,tt10514222,"[18, 10402]","['Drama', 'Music']",R,11.08,2020-11-25,0,0,94,Released,Ma Rainey's Black Bottom
69,746042,The Christmas House,tt12950902,"[10770, 10749]","['TV Movie', 'Romance']",NR-Manual,4.656,2020-11-22,0,0,85,Released,The Christmas House
70,520172,Happiest Season,tt8522006,"[10749, 35]","['Romance', 'Comedy']",PG-13,20.626,2020-11-17,0,1401954,102,Released,Happiest Season
71,740772,Rain Beau's End,tt6610032,[18],['Drama'],NR-Manual,0.752,2020-11-17,0,0,117,Released,Rain Beau's End
72,584583,Make Up,tt8362736,"[18, 53]","['Drama', 'Thriller']",NR-Manual,2.081,2020-11-13,0,0,86,Released,Make Up
73,765126,Rocky Horror Remade,,"[27, 16, 10402, 35, 878]","['Horror', 'Animation', 'Music', 'Comedy', 'Science Fiction']",NR-Manual,1.407,2020-11-13,1,1,95,Released,Rocky Horror Remade
74,568467,Ammonite,tt7983894,"[10749, 18]","['Romance', 'Drama']",R,16.383,2020-11-13,0,248516,118,Released,Ammonite
75,762915,I Am Norman,tt12969358,[],[],NR-Manual,1.4,2020-11-08,0,0,18,Released,I Am Norman
76,762521,Blue Girl,tt13418006,[18],['Drama'],NR-Manual,0.6,2020-11-07,0,0,4,Released,Blue Girl
77,686963,Dungarees,tt11875996,"[18, 35]","['Drama', 'Comedy']",NR-Manual,0.659,2020-10-23,0,0,5,Released,Dungarees
78,754058,The Laramie Project,,[18],['Drama'],NR,0.695,2020-10-15,0,0,0,Released,The Laramie Project
79,732498,LUZ,tt11357580,"[18, 80, 10749]","['Drama', 'Crime', 'Romance']",NR,2.711,2020-10-01,0,0,118,Released,LUZ
80,797139,Thanks to Her,,[18],['Drama'],NR-Manual,0.906,2020-09-30,0,0,23,Released,Thanks to Her
81,597156,The Boys in the Band,tt10199914,[18],['Drama'],R,12.68,2020-09-30,0,0,121,Released,The Boys in the Band
82,541305,Kajillionaire,tt8143990,"[80, 18, 35]","['Crime', 'Drama', 'Comedy']",R,18.268,2020-09-25,0,829900,105,Released,Kajillionaire
83,742065,Drawn Back Home,tt12841040,[18],['Drama'],NR-Manual,2.288,2020-09-24,0,0,107,Released,Drawn Back Home
84,745897,Doesn't Fall Far,tt11086266,[18],['Drama'],NR,0.6,2020-09-22,25000,0,15,Released,Doesn't Fall Far
85,769994,The First Time,,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",NR-Manual,0.6,2020-09-17,20,0,16,Released,The First Time
86,531033,I Am Woman,tt9185316,"[10402, 18]","['Music', 'Drama']",NR-Manual,5.449,2020-09-11,0,0,116,Released,I Am Woman
87,802377,The Billionaire,tt5559352,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",NR-Manual,1.169,2020-09-10,0,0,116,Released,The Billionaire
88,632666,Unpregnant,tt10556022,"[18, 35]","['Drama', 'Comedy']",PG-13,11.638,2020-09-10,0,0,104,Released,Unpregnant
89,738106,Ringolevio,tt10027720,[18],['Drama'],NR,1.304,2020-08-31,0,0,82,Released,Ringolevio
90,735727,Two Eyes,tt10820264,"[18, 37]","['Drama', 'Western']",NR-Manual,2.206,2020-08-30,0,0,0,Released,Two Eyes
91,662541,Ellie and Abbie (and Ellie's Dead Aunt),tt10353866,"[35, 10749]","['Comedy', 'Romance']",NR-Manual,4.45,2020-08-28,0,12841,83,Released,Ellie and Abbie (and Ellie's Dead Aunt)
92,674453,T11 Incomplete,tt7707692,[18],['Drama'],NR-Manual,6.32,2020-08-27,0,0,105,Released,T11 Incomplete
